"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1288",2011-03-31,28762,2010,32.307,34.654,0.232788037200092,Inf
"1289",2012-03-31,28762,2011,31.758,-17.348,0.180771291191699,NA
"1290",2013-03-31,28762,2012,27.41,-20.379,0.18988130439793,NA
"1291",2017-05-31,28790,2016,326.9,19.6,0.966728355326682,471.156862745098
"1292",2011-04-30,28924,2010,-73.92,-1.536,0.128765293485327,NA
"1293",2012-04-30,28924,2011,-68.867,-5.29800000000001,0.125941206013201,NA
"1294",2013-04-30,28924,2012,-157.806,106.339,0.0688250562084331,NA
"1295",2014-04-30,28924,2013,-47.268,179.701,0.0757506327299701,NA
"1296",2015-04-30,28924,2014,36.596,-265.811,NA,NA
"1297",2016-04-30,28924,2015,-24.446,-60.522,0.0234501302177782,NA
"1298",2017-04-30,28924,2016,22.023,-1.845,0.0335761264945644,NA
"1299",2015-03-31,29015,2014,161.78,-9.24200000000002,0.0287657498335375,6.03010213223437
"1300",2016-03-31,29015,2015,122.265,22.02,0.0260009639549695,3.69808591141776
"1301",2017-03-31,29015,2016,5.71,51.108,0.027380053365554,4.06515510153233
"1302",2011-03-31,29061,2010,4.315,38.165,NA,NA
"1303",2012-03-31,29061,2011,-31.657,-5.359,NA,NA
"1304",2013-03-31,29061,2012,2.633,69.022,NA,NA
"1305",2014-03-31,29061,2013,19.423,-46.838,NA,NA
"1306",2015-03-31,29061,2014,4.491,-9.918,NA,NA
"1307",2016-03-31,29061,2015,6.358,-3.259,NA,NA
"1308",2017-03-31,29061,2016,7.404,9.213,NA,NA
"1309",2017-04-30,29251,2016,-18.603,10.345,0,NA
"1310",2011-04-30,29304,2010,0.872,-0.0329999999999999,0.263024732792895,NA
"1311",2012-04-30,29304,2011,1.219,-0.324,0.199657882076228,NA
"1312",2013-04-30,29304,2012,1.683,1.328,0.139025236749467,NA
"1313",2014-04-30,29304,2013,2.467,-0.0660000000000001,0.116379310344828,NA
