"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1570",2015-04-30,65640,2014,24.087,1.70299999999999,0.590347460778832,NA
"1571",2016-04-30,65640,2015,72.006,17.728,0.520944200498018,NA
"1572",2017-04-30,65640,2016,43.347,-37.879,0.515984927915232,NA
"1573",2011-04-30,65702,2010,38.428,-0.218000000000004,0.673501008571044,1392.53592814371
"1574",2012-04-30,65702,2011,-77.586,2.71699999999999,0.752300222645457,1124.44575471698
"1575",2013-04-30,65702,2012,-54.142,-2.77899999999999,0.752250893307885,910.467889908257
"1576",2014-04-30,65702,2013,-23.095,0.709000000000003,0.781691560354948,745.989720998532
"1577",2011-03-31,65904,2010,-1.006,-38.124,0,0
"1578",2012-03-31,65904,2011,-82.688,-56.337,0,0
"1579",2013-03-31,65904,2012,-134.115,-9,0,0
"1580",2014-03-31,65904,2013,-5.694,52.474,0,0
"1581",2015-03-31,65904,2014,-52.058,-35.044,0,0
"1582",2016-03-31,65904,2015,-32.571,-11.43,0,0
"1583",2011-04-30,66228,2010,-3.88,-1.436,0.00392864789689656,Inf
"1584",2012-04-30,66228,2011,-18.69,2.412,0.0449860082887606,Inf
"1585",2013-04-30,66228,2012,-20.42,-1.41999999999999,0.100032151267368,Inf
"1586",2014-04-30,66228,2013,-28.567,3.198,0.240214808651812,1615.80701754386
"1587",2015-04-30,66228,2014,-443.094,NA,0.843098519435081,NA
